Address,Category 0,Category 1,Category 2,City,Distance,Name,Out of Business,Price,Rating,Review Count,State
800 Woodward Ave,Cannabis Dispensaries,,,Colorado Springs,4992.846622311745,JP Wellness,False,$$$,4.0,1,CO
1416 E Fisher Fwy,Cannabis Dispensaries,,,Colorado Springs,4709.450915447322,Kind Therapeutics,False,$$,5.0,1,CO
1454 Gratiot Ave,Cannabis Dispensaries,,,Colorado Springs,4812.29897019413,The Green House,False,$$,3.5,2,CO
420 Peterboro St,Cannabis Dispensaries,,,Colorado Springs,3202.973233018868,Quality Choice Alternative Care Center,False,$$,2.5,3,CO
500 Woodward Ave,Vape Shops,Cannabis Clinics,Head Shops,Colorado Springs,5184.276642808492,Mr Nice Guys Vape CBD and KRATOM,False,$,4.0,1,CO
8047 Agnes St,Cannabis Dispensaries,,,Colorado Springs,7794.328846704235,Native Roots Dispensary - Tejon,False,$,1.0,2,CO
419 Monroe St,Cannabis Dispensaries,,,Colorado Springs,4985.225276526923,Native Roots Dispensary - Uintah,False,$$$,4.0,1,CO
2130 Michigan Ave,Cannabis Clinics,Cannabis Dispensaries,,Santa Ana,3651.2396598594514,Stoney Cannabis Delivery,False,$,3.5,44,CA
160 W Fort St,Cannabis Dispensaries,,,Chino,4966.466507510566,Lucky Farms- Chino,False,$$,5.0,1,CA
2901 Grand River Ave,Couriers & Delivery Services,Cannabis Clinics,Cannabis Dispensaries,Orange County,3251.8277521559585,HerbanMed Delivery,False,$$,5.0,4,CA
2200 W Lafayette Blvd,Cannabis Dispensaries,,,Yonkers,4786.002465206536,Etain Health Medical Marijuana Dispensary,False,$$,3.0,5,NY
4730 W Vernor Hwy,Cannabis Dispensaries,,,New York,4871.9657825675595,Etain,False,$$$$,2.5,15,NY
47 Watson St,Cannabis Dispensaries,,,Cranbury Township,3488.0998284615575,Breakwater Treatment & Wellness,False,$$,4.0,18,NJ
1538 Centre St,Cannabis Clinics,Medical Spas,,Santa Ana,4595.922291224025,Steady Care Medical Clinic,False,$,4.5,100,CA
441 W Canfield,Cannabis Dispensaries,Cannabis Tours,,Buena Park,2451.0059697351717,FlyBuds,False,$$,5.0,32,CA
488 Selden St,Cannabis Dispensaries,,,Santa Ana,2754.659756780607,MedMen Santa Ana,False,$$,4.5,91,CA
2901 Grand River Ave,Cannabis Dispensaries,,,Los Angeles,3251.8277521559585,Green Earth Collective,False,$$,4.5,81,CA
1426 Bagley Ave,Cannabis Clinics,Cannabis Dispensaries,,Los Angeles,4191.453902444791,Kushfly,False,$$,4.0,143,CA
66 E Forest Ave,Cannabis Dispensaries,,,Santa Ana,2573.901015743643,People's OC,False,$$,3.5,246,CA
624 Brush St,Cannabis Dispensaries,Cannabis Collective,,Sherman Oaks,5244.930545930927,The Higher Path,False,$$,4.5,146,CA
4476 2nd Ave,Cannabis Clinics,Cannabis Collective,Cannabis Dispensaries,Los Angeles,2281.4935192473545,Cornerstone Research Collective,False,$$,4.0,102,CA
3148 Woodward Ave,Cannabis Dispensaries,,,Long Beach,3395.179073872804,2HIGH2DIE,False,$$$,5.0,2,CA
1454 Gratiot Ave,Cannabis Dispensaries,,,Los Angeles,4812.29897019413,Universal Collective,False,$$,4.5,41,CA
420 Peterboro St,Cannabis Clinics,Cannabis Dispensaries,,Los Angeles,3202.973233018868,Green Door West Delivery,False,$$,4.5,38,CA
500 Woodward Ave,Cannabis Clinics,Cannabis Dispensaries,Cannabis Collective,Torrance,5184.276642808492,Green Cross of Torrance,False,$$,4.0,38,CA
8047 Agnes St,Cannabis Dispensaries,,,West Hollywood,7794.328846704235,Alternative Herbal Health Services,False,$$,4.5,37,CA
608 Woodward Ave,Cannabis Dispensaries,,,Los Angeles,5151.596983386501,Exhalence LA,False,$$$$,4.5,32,CA
719 Griswold St,Cannabis Dispensaries,,,Anchorage,4983.262814966484,Enlighten Alaska,False,$$$,4.0,9,AK
2200 W Lafayette Blvd,Cannabis Dispensaries,,,Anchorage,4786.002465206536,Catalyst Cannabis Co,False,$$$,5.0,4,AK
2138 Michigan Ave,Cannabis Dispensaries,,,Anchorage,3642.5208959143565,Raspberry Roots,False,$,5.0,5,AK
15 E Kirby St,Cannabis Dispensaries,,,Anchorage,2060.390173028952,AK Frost,False,$$,4.5,6,AK
1413 Brooklyn St,Cannabis Dispensaries,,,Anchorage,4401.3703833712,Cannabaska,False,$$,3.5,11,AK
225 Gratiot Ave,Cannabis Dispensaries,,,Anchorage,4820.605367433968,Alaska Fireweed,False,$$,4.0,8,AK
4730 W Vernor Hwy,Cannabis Dispensaries,,,Anchorage,4871.9657825675595,AK Slow Burn,False,$$,4.5,4,AK
47 Watson St,Cannabis Dispensaries,,,Anchorage,3488.0998284615575,Satori,False,$$$,4.5,4,AK
1431 Times Square,Cannabis Dispensaries,,,Anchorage,4467.444704115641,Dankorage,False,$$$,3.0,10,AK
4265 Woodward Ave,Cannabis Dispensaries,,,Anchorage,2656.3899477932446,Fuzzy Budz,False,$$,3.5,3,AK
1538 Centre St,Cannabis Dispensaries,,,Anchorage,4595.922291224025,Arctic Herbery,False,$$$$,3.5,4,AK
250 W Larned St,Cannabis Dispensaries,,,Anchorage,5166.182652766659,Great Northern Cannabis,False,$$$,3.0,9,AK
441 W Canfield,Cannabis Dispensaries,,,Anchorage,2451.0059697351717,ALASKAbuds,False,$$,2.5,3,AK
15 E Kirby St,Cannabis Dispensaries,,,Mesa,2060.390173028952,Kind Meds,False,$$$,4.5,9,AZ
2130 Michigan Ave,Cannabis Dispensaries,,,Gilbert,3651.2396598594514,Emerald Dispensary- Gilbert,False,$,4.0,40,AZ
4730 W Vernor Hwy,Cannabis Dispensaries,,,Phoenix,4871.9657825675595,Trumed Dispensary,False,$$,4.5,64,AZ
2163 Michigan Ave,Cannabis Dispensaries,,,Mesa,3683.7013418574566,Greenpharms Dispensary Mesa,False,$$,2.0,15,AZ
3100 Woodward Ave,Cannabis Dispensaries,,,Chandler,3466.283109169473,Oasis Dispensaries - South,False,$$$,3.5,30,AZ
250 W Larned St,Cannabis Dispensaries,,,Phoenix,5166.182652766659,Curaleaf,False,$$,4.0,14,AZ
1426 Bagley Ave,Cannabis Dispensaries,,,Phoenix,4191.453902444791,Desert Rose Dispensary,False,$,3.0,25,AZ
719 Griswold St,Cannabis Dispensaries,,,Reno,4983.262814966484,Mynt Cannabis Dispensary,False,$$,4.0,88,NV
2200 W Lafayette Blvd,Cannabis Dispensaries,,,Reno,4786.002465206536,The Dispensary,False,$$,3.5,66,NV
2138 Michigan Ave,Cannabis Dispensaries,,,Reno,3642.5208959143565,Blüm Reno,False,$$,3.5,59,NV
15 E Kirby St,Cannabis Dispensaries,,,Reno,2060.390173028952,Silver State Relief,False,$$,4.0,56,NV
1413 Brooklyn St,Cannabis Dispensaries,,,Reno,4401.3703833712,Sierra Well,False,$$,4.0,37,NV
4730 W Vernor Hwy,Cannabis Clinics,Cannabis Dispensaries,,Sun Valley,4871.9657825675595,Kanna,False,$$,5.0,7,NV
2520 Michigan Ave,Cannabis Dispensaries,,,Sparks,3522.0292933785536,Reef Dispensaries,False,$$,3.5,19,NV
3100 Woodward Ave,Cannabis Dispensaries,,,Carson City,3466.283109169473,RISE Dispensaries,False,$$$,3.5,19,NV
1431 Times Square,Cannabis Dispensaries,,,Sun Valley,4467.444704115641,Reef Dispensaries,False,$$,3.5,8,NV
719 Griswold St,Cannabis Dispensaries,,,Tallahassee,4983.262814966484,Knox Cannabis Dispensary - Tallahassee,False,$$$,5.0,2,FL
225 Gratiot Ave,Cannabis Dispensaries,,,Port Hueneme,4820.605367433968,From The Earth,False,$$,3.0,9,CA
1431 Times Square,Cannabis Dispensaries,,,Ojai,4467.444704115641,Ojai Greens Cannabis Dispensary,False,$$,4.5,8,CA
2138 Michigan Ave,Cannabis Dispensaries,,,Hollywood,3642.5208959143565,Extra Special Delivery,False,$,5.0,72,CA
4730 W Vernor Hwy,Cannabis Dispensaries,Cannabis Collective,,Sherman Oaks,4871.9657825675595,The Higher Path,False,$$,4.5,146,CA
47 Watson St,Cannabis Clinics,Cannabis Dispensaries,,Los Angeles,3488.0998284615575,Kushfly,False,$$,4.0,143,CA
4265 Woodward Ave,Cannabis Dispensaries,,,West Hollywood,2656.3899477932446,MedMen West Hollywood,False,$$,3.5,307,CA
1538 Centre St,Cannabis Clinics,Cannabis Dispensaries,,Los Angeles,4595.922291224025,HERB,False,$$,4.5,63,CA
441 W Canfield,Cannabis Dispensaries,,,Los Angeles,2451.0059697351717,Green Earth Collective,False,$$,4.5,81,CA
160 W Fort St,Cannabis Dispensaries,,,Los Angeles,4966.466507510566,MedMen Downtown - DTLA,False,$$,4.0,121,CA
2100 Michigan Ave,Cannabis Dispensaries,,,Los Angeles,3660.216029559591,Organic Kind,False,$$$,5.0,36,CA
2030 Park Ave,Cannabis Dispensaries,,,Los Angeles,4241.360368308549,Mecca Natural Medicine,False,$,4.0,113,CA
2901 Grand River Ave,Cannabis Dispensaries,,,Los Angeles,3251.8277521559585,MedMen Abbot Kinney,False,$,4.5,88,CA
1426 Bagley Ave,Cannabis Dispensaries,,,West Hollywood,4191.453902444791,Top Shelf Delivery,False,$$$$,4.5,53,CA
800 Woodward Ave,Cannabis Clinics,Cannabis Dispensaries,Couriers & Delivery Services,Santa Monica,4992.846622311745,Pot Valet,False,$$,4.5,55,CA
1234 Library St,Cannabis Clinics,Cannabis Collective,Cannabis Dispensaries,Los Angeles,4786.58735823642,Cornerstone Research Collective,False,$$,4.0,102,CA
624 Brush St,Cannabis Dispensaries,,,Los Angeles,5244.930545930927,FireHaus Marijuana Dispensary,False,$$,4.0,79,CA
155 W Congress St,Cannabis Dispensaries,,,Los Angeles,5144.162479120107,Universal Collective,False,$$,4.5,41,CA
1416 E Fisher Fwy,Cannabis Dispensaries,,,West Hollywood,4709.450915447322,Los Angeles Patients & Caregivers Group,False,$$,4.5,86,CA
8047 Agnes St,Cannabis Dispensaries,,,Los Angeles,7794.328846704235,Exhalence LA,False,$$$$,4.5,32,CA
419 Monroe St,Cannabis Clinics,Cannabis Dispensaries,,Los Angeles,4985.225276526923,Green Door West Delivery,False,$$,4.5,38,CA
76 W Adams Ave,Cannabis Dispensaries,,,West Hollywood,4275.543511857755,Alternative Herbal Health Services,False,$$,4.5,37,CA
4620 Cass Ave,Cannabis Dispensaries,Cannabis Clinics,Cannabis Collective,Los Angeles,2363.2455221110486,Western Caregivers / California Cannabis Melrose,False,$$,4.5,31,CA
2200 W Lafayette Blvd,Cannabis Dispensaries,,,Orlando,4786.002465206536,Trulieve - Orlando,False,$$,3.5,13,FL
2138 Michigan Ave,Cannabis Dispensaries,Cannabis Clinics,,Orlando,3642.5208959143565,Surterra Wellness,False,$$,4.0,5,FL
15 E Kirby St,Cannabis Dispensaries,,,Orlando,2060.390173028952,Knox Cannabis Dispensary - Orlando,False,$$,2.5,7,FL
2138 Michigan Ave,Cannabis Dispensaries,Alternative Medicine,,Portland,3642.5208959143565,Serra Dispensary Downtown,False,$$,4.5,73,OR
1413 Brooklyn St,Cannabis Dispensaries,,,Portland,4401.3703833712,MindRite,False,$$,5.0,34,OR
2130 Michigan Ave,Cannabis Dispensaries,,,Portland,3651.2396598594514,Natural Wonders,False,$$,4.5,41,OR
2520 Michigan Ave,Drugstores,Cannabis Clinics,,Portland,3522.0292933785536,Nectar - Mississippi,False,$$,4.0,54,OR
2163 Michigan Ave,Cannabis Dispensaries,,,Portland,3683.7013418574566,Oregon's Finest,False,$$$,4.0,48,OR
3100 Woodward Ave,Cannabis Dispensaries,,,Portland,3466.283109169473,The Kings Of Canna,False,$$$,4.5,23,OR
1538 Centre St,Cannabis Dispensaries,,,Portland,4595.922291224025,Nectar - Sandy,False,$$,4.0,42,OR
441 W Canfield,Cannabis Dispensaries,Alternative Medicine,,Portland,2451.0059697351717,Serra Dispensary Belmont,False,$$,4.0,37,OR
488 Selden St,Cannabis Dispensaries,,,Portland,2754.659756780607,Oregon's Finest,False,$$,4.5,22,OR
160 W Fort St,Cannabis Dispensaries,,,Portland,4966.466507510566,Nectar - Barbur,False,$$,4.0,41,OR
2030 Park Ave,Cannabis Dispensaries,,,Portland,4241.360368308549,Deanz Greenz,False,$$,4.0,25,OR
2901 Grand River Ave,Cannabis Dispensaries,,,Portland,3251.8277521559585,Cannabliss - Firestation 23,False,$$,4.0,27,OR
624 Brush St,Cannabis Dispensaries,,,Portland,5244.930545930927,Green Front,False,$$,3.5,28,OR
612 Woodward Ave,Cannabis Dispensaries,,,Portland,5143.369467083192,Parlour Cannabis Shoppe,False,$$,4.5,13,OR
155 W Congress St,Cannabis Dispensaries,Cannabis Clinics,,Portland,5144.162479120107,Green Hop,False,$$,4.5,10,OR
400 E Congress St,Cannabis Dispensaries,,,Portland,5301.151958380003,Stone Age Farmacy PDX,False,$$,3.5,19,OR
1416 E Fisher Fwy,Cannabis Dispensaries,,,Portland,4709.450915447322,Botanica,False,$$,4.0,16,OR
20510 Livernois Ave,Cannabis Clinics,Cannabis Dispensaries,,Portland,10114.547072546644,Chalice Farms - Powell,False,$$,4.0,14,OR
2515 Riopelle St,Cannabis Dispensaries,,,Portland,4629.105553382671,Foster Buds - NE Glisan,False,$$$$,4.0,11,OR
419 Monroe St,Cannabis Dispensaries,,,Portland,4985.225276526923,Amberlight Cannabis House,False,$$,5.0,4,OR
76 W Adams Ave,Cannabis Dispensaries,Cannabis Collective,,Portland,4275.543511857755,Tetra Cannabis,False,$$,4.0,15,OR
719 Griswold St,Cannabis Dispensaries,Cannabis Tours,,Salem,4983.262814966484,Diem Cannabis Dispensary Salem,False,$$,4.5,20,OR
1431 Times Square,Cannabis Dispensaries,,,Salem,4467.444704115641,Green Cross Cannabis Emporium,False,$$,3.0,8,OR
4265 Woodward Ave,Cannabis Dispensaries,,,Salem,2656.3899477932446,Truth Dispensary,False,$,5.0,1,OR
441 W Canfield,Cannabis Dispensaries,,,Salem,2451.0059697351717,Thc Recreation Station,False,$$$$,2.0,4,OR
488 Selden St,Cannabis Dispensaries,Cannabis Clinics,,Salem,2754.659756780607,Ancient Remedies,False,$$,5.0,2,OR
15 E Kirby St,Cannabis Dispensaries,,,Riverside,2060.390173028952,Mr Clone,False,$$,3.5,6,CA
3100 Woodward Ave,Cannabis Clinics,Cannabis Dispensaries,,Santa Ana,3466.283109169473,Stoney Cannabis Delivery,False,$,3.5,44,CA
2030 Park Ave,Cannabis Dispensaries,,,Riverside,4241.360368308549,IE 420 Supply,False,$$,4.0,1,CA
2462 Riopelle St,Cannabis Dispensaries,,,Chino,4698.363901073298,Lucky Farms- Chino,False,$$,5.0,1,CA
78 W Adams Ave,Couriers & Delivery Services,Cannabis Clinics,Cannabis Dispensaries,Orange County,4284.553921587478,HerbanMed Delivery,False,$$,5.0,4,CA
3100 Woodward Ave,Cannabis Clinics,Cannabis Dispensaries,,Santa Ana,3466.283109169473,Stoney Cannabis Delivery,False,$,3.5,44,CA
160 W Fort St,Cannabis Dispensaries,,,Chino,4966.466507510566,Lucky Farms- Chino,False,$$,5.0,1,CA
624 Brush St,Couriers & Delivery Services,Cannabis Clinics,Cannabis Dispensaries,Orange County,5244.930545930927,HerbanMed Delivery,False,$$,5.0,4,CA
3148 Woodward Ave,Cannabis Dispensaries,,,Riverside,3395.179073872804,IE 420 Supply,False,$$,4.0,1,CA
1431 Times Square,Cannabis Dispensaries,,,New York,4467.444704115641,Etain,False,$$$$,2.5,15,NY
488 Selden St,Cannabis Dispensaries,,,Cranbury Township,2754.659756780607,Breakwater Treatment & Wellness,False,$$,4.0,18,NJ
2163 Michigan Ave,Cannabis Dispensaries,,,New York,3683.7013418574566,Etain,False,$$$$,2.5,15,NY
1431 Times Square,Cannabis Dispensaries,,,Cranbury Township,4467.444704115641,Breakwater Treatment & Wellness,False,$$,4.0,18,NJ
2163 Michigan Ave,Cannabis Clinics,Cannabis Dispensaries,,Santa Ana,3683.7013418574566,Stoney Cannabis Delivery,False,$,3.5,44,CA
1426 Bagley Ave,Cannabis Dispensaries,,,Chino,4191.453902444791,Lucky Farms- Chino,False,$$,5.0,1,CA
612 Woodward Ave,Couriers & Delivery Services,Cannabis Clinics,Cannabis Dispensaries,Orange County,5143.369467083192,HerbanMed Delivery,False,$$,5.0,4,CA
719 Griswold St,Juice Bars & Smoothies,Cannabis Clinics,Acai Bowls,San Antonio,4983.262814966484,Farm to Juice,False,$$,4.0,35,TX
15 E Kirby St,Cannabis Dispensaries,,,Portland,2060.390173028952,MindRite,False,$$,5.0,34,OR
1413 Brooklyn St,Cannabis Dispensaries,,,Portland,4401.3703833712,Natural Wonders,False,$$,4.5,41,OR
2520 Michigan Ave,Cannabis Clinics,Cannabis Dispensaries,,Vancouver,3522.0292933785536,High 5 Cannabis,False,$$,4.5,30,WA
47 Watson St,Cannabis Clinics,Head Shops,,Vancouver,3488.0998284615575,The Herbery - 164th,False,$$,3.5,47,WA
4216 Woodward Ave,Cannabis Dispensaries,Alternative Medicine,,Portland,2733.063454952114,Serra Dispensary Downtown,False,$$,4.5,73,OR
441 W Canfield,Cannabis Dispensaries,,,Portland,2451.0059697351717,Botanica,False,$$,4.0,16,OR
488 Selden St,Cannabis Dispensaries,,,Milwaukie,2754.659756780607,Top Shelf Budz,False,$$,4.0,15,OR
160 W Fort St,Cannabis Dispensaries,,,Portland,4966.466507510566,The Kings Of Canna,False,$$$,4.5,23,OR
2100 Michigan Ave,Drugstores,Cannabis Clinics,,Portland,3660.216029559591,Nectar - Mississippi,False,$$,4.0,54,OR
800 Woodward Ave,Cannabis Dispensaries,,,Portland,4992.846622311745,Nectar - Sandy,False,$$,4.0,42,OR
2462 Riopelle St,Cannabis Dispensaries,,,Portland,4698.363901073298,Oregon's Finest,False,$$$,4.0,48,OR
155 W Congress St,Cannabis Dispensaries,,,Portland,5144.162479120107,Oregon's Finest,False,$$,4.5,22,OR
78 W Adams Ave,Cannabis Dispensaries,Cannabis Clinics,,Portland,4284.553921587478,Green Hop,False,$$,4.5,10,OR
400 E Congress St,Cannabis Dispensaries,,,Vancouver,5301.151958380003,Mary Jane's House of Grass,False,$$,3.5,6,WA
500 Woodward Ave,Cannabis Dispensaries,,,Portland,5184.276642808492,Green Front,False,$$,3.5,28,OR
2138 Michigan Ave,Cannabis Dispensaries,,,Tampa,3642.5208959143565,Surterra Wellness,False,$$,4.0,13,FL
2138 Michigan Ave,Cannabis Dispensaries,,,Miami,3642.5208959143565,Trulieve - Miami,False,$$$,4.0,22,FL
2520 Michigan Ave,Cannabis Dispensaries,Cannabis Clinics,,Miami Beach,3522.0292933785536,Surterra Wellness - Miami Beach,False,$$,4.5,10,FL
2163 Michigan Ave,Cannabis Clinics,Cannabis Dispensaries,,Santa Ana,3683.7013418574566,Stoney Cannabis Delivery,False,$,3.5,44,CA
250 W Larned St,Couriers & Delivery Services,Cannabis Clinics,Cannabis Dispensaries,Orange County,5166.182652766659,HerbanMed Delivery,False,$$,5.0,4,CA
15 E Kirby St,Cannabis Dispensaries,,,Phoenix,2060.390173028952,Metro Meds Dispensary,False,$$,4.0,27,AZ
1413 Brooklyn St,Cannabis Dispensaries,,,Phoenix,4401.3703833712,Trumed Dispensary,False,$$,4.5,64,AZ
2520 Michigan Ave,Cannabis Dispensaries,,,Youngtown,3522.0292933785536,Curaleaf Youngtown,False,$,4.5,8,AZ
2163 Michigan Ave,Cannabis Dispensaries,,,Glendale,3683.7013418574566,Ponderosa Releaf,False,$$,5.0,1,AZ
1431 Times Square,Cannabis Dispensaries,,,Phoenix,4467.444704115641,Emerald Dispensary - Phoenix,False,$$,3.5,11,AZ
160 W Fort St,Cannabis Dispensaries,,,Phoenix,4966.466507510566,Curaleaf,False,$$,4.0,14,AZ
1426 Bagley Ave,Cannabis Dispensaries,,,Phoenix,4191.453902444791,Desert Rose Dispensary,False,$,3.0,25,AZ
2462 Riopelle St,Cannabis Dispensaries,,,Sun City,4698.363901073298,All Greens Dispensary,False,$,2.5,10,AZ
155 W Congress St,Cannabis Dispensaries,,,Sun City,5144.162479120107,White Mountain Health Center,False,$$,2.0,5,AZ
1454 Gratiot Ave,Cannabis Dispensaries,,,Phoenix,4812.29897019413,Phoenix Relief Center,False,$,4.0,2,AZ
719 Griswold St,Cannabis Dispensaries,,,Chicago,4983.262814966484,CBD Kratom,False,$$,4.5,16,IL
2138 Michigan Ave,Cannabis Dispensaries,,,Chicago,3642.5208959143565,The Herbal Care Center,False,$$,5.0,14,IL
2130 Michigan Ave,Cannabis Dispensaries,Cannabis Clinics,,Chicago,3651.2396598594514,GreenGate Chicago,False,$$,5.0,8,IL
2163 Michigan Ave,Cannabis Dispensaries,,,Chicago,3683.7013418574566,Midway Dispensary,False,$$$,5.0,3,IL
1431 Times Square,Cannabis Dispensaries,Cannabis Clinics,,Chicago,4467.444704115641,MOCA - Modern Cannabis,False,$$,4.0,3,IL
